n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,10,0.0,cosine,30,5,euclidean,eom,True,352,0.0988,0.6099,0.6017,0.596043956043956,0.6035304006724573,0.43739328400682986,0.545655880241081,0.5167186200253929
15,10,0.0,cosine,30,10,euclidean,eom,True,300,0.0825,0.606,0.6147,0.5243956043956044,0.5926029700196134,0.4743881616391577,0.5304622453514585,0.499391883017381
15,10,0.0,cosine,30,20,euclidean,eom,True,276,0.0931,0.5986,0.6347,0.570989010989011,0.571868870832166,0.5313033579965852,0.5580537466059208,0.5511461844927981
15,10,0.0,cosine,50,5,euclidean,eom,True,204,0.104,0.6333,0.6312,0.6189010989010988,0.6690949845895209,0.5213431986340352,0.6031130940415516,0.570122148767567
15,10,0.0,cosine,50,10,euclidean,eom,True,189,0.1097,0.6259,0.6453,0.643956043956044,0.6483608854020735,0.5614684120660216,0.6179284471413797,0.6027122280110329
15,10,0.0,cosine,50,20,euclidean,eom,True,167,0.0915,0.6042,0.6642,0.5639560439560439,0.5875595404875315,0.6152532726237906,0.5889229523557886,0.5896046582899173
15,10,0.0,cosine,75,5,euclidean,eom,True,146,0.0997,0.6075,0.6627,0.6,0.5968058279630151,0.6109846328969833,0.6025968202866662,0.6054923164484917
15,10,0.0,cosine,75,10,euclidean,eom,True,138,0.1025,0.6116,0.672,0.6123076923076922,0.6082936396749792,0.6374501992031874,0.6193505103952862,0.6248789457554398
15,10,0.0,cosine,75,20,euclidean,eom,True,132,0.0931,0.603,0.68,0.570989010989011,0.5841972541328103,0.6602162777461583,0.6051341809559933,0.6156026443675846
15,10,0.0,cosine,100,5,euclidean,eom,True,115,0.1008,0.6061,0.6874,0.6048351648351649,0.5928831605491734,0.6812749003984064,0.6263310752609149,0.6430550326167856
15,10,0.0,cosine,100,10,euclidean,eom,True,115,0.1133,0.6148,0.6864,0.6597802197802198,0.6172597366209023,0.678429140580535,0.651823032327219,0.6691046801803775
15,10,0.0,cosine,100,20,euclidean,eom,True,102,0.0949,0.5892,0.6986,0.5789010989010989,0.5455309610535163,0.7131474103585658,0.6125264901043936,0.6460242546298323
15,10,0.0,cosine,150,5,euclidean,eom,True,81,0.128,0.6716,0.7042,0.7243956043956044,0.7764079574110395,0.7290836653386455,0.7432957423817631,0.7267396348671249
15,10,0.0,cosine,150,10,euclidean,eom,True,81,0.1367,0.6654,0.6981,0.7626373626373626,0.7590361445783133,0.7117245304496302,0.744466012555102,0.7371809465434964
15,10,0.0,cosine,150,20,euclidean,eom,True,75,0.1192,0.652,0.7021,0.6857142857142857,0.7214906136172599,0.7231075697211153,0.7101041563508869,0.7044109277177005
15,10,0.0,cosine,200,5,euclidean,eom,True,60,0.1285,0.69,0.7233,0.7265934065934065,0.827963014850098,0.7834376778599887,0.7793313664344979,0.7550155422266976
15,10,0.0,cosine,200,10,euclidean,eom,True,61,0.1339,0.6852,0.7167,0.7503296703296702,0.8145138694312134,0.7646556630620376,0.7764997342743071,0.7574926666958539
